Player,Code,Tm,2023-24
Nikola Mirotic,nikola_mirotic,EA7 Emporio Armani Milano,2500000
Nikola Topic,nikola_topic,Crvena zvezda Meridianbet,500000
Nikos Rogkavopoulos,nikos_rogkavopoulos,Baskonia,700000
Ognjen Dobric,ognjen_dobric,Crvena zvezda Meridianbet,800000
Ognjen Dobric,ognjen_dobric,Virtus Segafredo Bologna,800000
Ognjen Jaramaz,ognjen_jaramaz,Partizan Mozzart Bet,500000
Ognjen Kuzmic,ognjen_kuzmic,Crvena zvezda Meridianbet,500000
Olek Balcerowski,olek_balcerowski,Panathinaikos,500000
Omer Mayer,omer_mayer,Maccabi Playtika Tel Aviv,500000
Oriol Pauli,oriol_pauli,Barcelona,600000
Oscar Da Silva,oscar_da_silva,Barcelona,1000000
Panagiotis Kalaitzakis,panagiotis_kalaitzakis,Panathinaikos,500000
Paris Lee,paris_lee,LDLC ASVEL,800000
Petr Cornelie,petr_cornelie,AS Monaco,1000000
PJ Dozier,pj_dozier,Partizan Mozzart Bet,1100000
Rafael Menco,rafael_menco,Maccabi Playtika Tel Aviv,500000
Ricky Rubio,ricky_rubio,Barcelona,1600000
Ridvan Oncel,ridvan_oncel,Anadolu Efes,500000
Rihards Lomazs,rihards_lomazs,Virtus Segafredo Bologna,500000
Rodney McGruder,rodney_mcgruder,EA7 Emporio Armani Milano,500000
Rodrigue Beaubois,rodrigue_beaubois,Anadolu Efes,1000000
Rokas Giedraitis,rokas_giedraitis,Crvena zvezda Meridianbet,800000
Rokas Jokubaitis,rokas_jokubaitis,Barcelona,800000
Rolands Smits,rolands_smits,,1200000
Roman Sorkin,roman_sorkin,Maccabi Playtika Tel Aviv,600000
Rudy Fernandez,rudy_fernandez,,1400000
Sander Raieste,sander_raieste,Baskonia,500000
Scottie Wilbekin,scottie_wilbekin,Fenerbahce Beko,2000000
Sehmus Hazer,sehmus_hazer,Fenerbahce Beko,500000
Semi Ojeleye,semi_ojeleye,Valencia Basket,1000000
Serge Ibaka,serge_ibaka,Bayern Munchen,1900000
Sergio De Larrea,sergio_de_larrea,Valencia Basket,500000
Sergio Llull,sergio_llull,Real Madrid,1000000
Sergio Rodriguez,sergio_rodriguez,Real Madrid,1300000
Sertac Sanli,sertac_sanli,Fenerbahce Beko,800000
Shabazz Napier,shabazz_napier,EA7 Emporio Armani Milano,1300000
Shabazz Napier,shabazz_napier,Crvena zvezda Meridianbet,1300000
Shane Larkin,shane_larkin,Anadolu Efes,2600000
Shaquielle McKissic,shaquielle_mckissic,Olympiacos,800000
Shavon Shields,shavon_shields,EA7 Emporio Armani Milano,2000000
Stefan Jovic,stefan_jovic,Bayern Munchen,1000000
Stefan Lazarevic,stefan_lazarevic,Crvena zvezda Meridianbet,500000
Stefano Tonut,stefano_tonut,EA7 Emporio Armani Milano,800000
Sterling Brown,sterling_brown,ALBA Berlin,600000
Sylvain Francisco,sylvain_francisco,Bayern Munchen,1200000
Tadas Sedekerskis,tadas_sedekerskis,Baskonia,500000
Tamir Blatt,tamir_blatt,Maccabi Playtika Tel Aviv,1000000
Giorgos Tanoulis,giorgos_tanoulis,Olympiacos,500000
Tarik Biberovic,tarik_biberovic,Fenerbahce Beko,900000
Terry Tarpey,terry_tarpey,AS Monaco,600000
Thomas Walkup,thomas_walkup,Olympiacos,1000000
Tibor Pleiss,tibor_pleiss,Anadolu Efes,1000000
Tim Schneider,tim_schneider,ALBA Berlin,500000
Timothe Luwawu-Cabarrot,timothe_luwawu-cabarrot,LDLC ASVEL,1300000
Tomas Dimsa,tomas_dimsa,Zalgiris,1600000
Tomas Satoransky,tomas_satoransky,Barcelona,1700000
Tornike Shengelia,tornike_shengelia,Virtus Segafredo Bologna,2200000
Trey Thompkins,trey_thompkins,Crvena zvezda Meridianbet,1000000
Tristan Vukcevic-Tsalikis,tristan_vukcevic-tsalikis,Partizan Mozzart Bet,500000
Tyler Dorsey,tyler_dorsey,Fenerbahce Beko,1400000
Tyrique Jones,tyrique_jones,Anadolu Efes,1100000
Uros Trifunovic,uros_trifunovic,Partizan Mozzart Bet,500000
Vanja Marinkovic,vanja_marinkovic,Baskonia,900000
Victor Claver,victor_clave,Valencia Basket,750000
Vincent Poirier,vincent_poirier,Real Madrid,1400000
Vit Hrabar,vit_hrabar,Baskonia,700000
Vladimir Lucic,vladimir_lucic,Bayern Munchen,1100000
Wade Baldwin,wade_baldwin,Maccabi Playtika Tel Aviv,1900000
Edy Tavares,edy_tavares,Real Madrid,2300000
Will Clyburn,will_clyburn,Anadolu Efes,2400000
Xabier Lopez-Arostegui,xabier_lopez-arostegui,Valencia Basket,700000
Noam Yaacov,noam_yaacov,LDLC ASVEL,700000
Yago dos Santos,yago_dos_santos,Crvena zvezda Meridianbet,900000
Yam Madar,yam_madar,Fenerbahce Beko,1000000
Yanni Wetzell,yanni_wetzell,ALBA Berlin,500000
Yigit Hamza Mestoglu,yigit_hamza_mestoglu,Fenerbahce Beko,500000
Youssoupha Fall,youssoupha_fall,LDLC ASVEL,800000
Zach LeDay,zach_leday,Partizan Mozzart Bet,1500000
Ziga Samar,ziga_samar,ALBA Berlin,800000
